reaction	reaction_type	label	raw_idx
[Cl:1][c:2]1[n:3][cH:4][cH:5][c:6]([Cl:15])[n:14]1.[NH2:7][c:8]1[cH:9][cH:10][cH:11][cH:12][cH:13]1>CCO.CCN(CC)CC>[Cl:1][c:2]1[n:3][cH:4][cH:5][c:6]([NH:7][c:8]2[cH:9][cH:10][cH:11][cH:12][cH:13]2)[n:14]1.[ClH:15]	4	1.3.7	357
[c:11]1([Cl:31])[c:12]2[c:13]([n:14][cH:15][n:16]1)[cH:17][c:18](-[c:19]1[cH:20][cH:21][cH:22][cH:23][cH:24]1)[s:25]2.[c:1]1([CH3:2])[cH:3][c:4]([NH:5][c:6]2[cH:7][cH:8][c:9]([NH2:10])[cH:26][cH:27]2)[cH:28][cH:29][cH:30]1>>[ClH:31].[c:1]1([CH3:2])[cH:3][c:4]([NH:5][c:6]2[cH:7][cH:8][c:9]([NH:10][c:11]3[c:12]4[c:13]([n:14][cH:15][n:16]3)[cH:17][c:18](-[c:19]3[cH:20][cH:21][cH:22][cH:23][cH:24]3)[s:25]4)[cH:26][cH:27]2)[cH:28][cH:29][cH:30]1	4	1.3.7	15074
[NH2:2][c:3]1[cH:4][cH:5][n:6][cH:7][cH:8]1.[c:1]1([Cl:24])[n:9][c:10](-[c:11]2[cH:12][cH:13][cH:14][cH:15][cH:16]2)[n:17][c:18]2[cH:19][cH:20][cH:21][cH:22][c:23]12>CN(C)C=O.[K+].[K+].O=C([O-])[O-]>[ClH:24].[c:1]1([NH:2][c:3]2[cH:4][cH:5][n:6][cH:7][cH:8]2)[n:9][c:10](-[c:11]2[cH:12][cH:13][cH:14][cH:15][cH:16]2)[n:17][c:18]2[cH:19][cH:20][cH:21][cH:22][c:23]12	4	1.3.7	2160
[NH:2]1[CH2:3][CH2:4][CH:5]([CH3:6])[CH2:7][CH2:8]1.[c:1]1([Cl:22])[cH:9][n:10][cH:11][c:12]([C:13](=[O:14])[NH:15][c:16]2[n:17][n:18][n:19][nH:20]2)[n:21]1>c1ccccc1>[ClH:22].[c:1]1([N:2]2[CH2:3][CH2:4][CH:5]([CH3:6])[CH2:7][CH2:8]2)[cH:9][n:10][cH:11][c:12]([C:13](=[O:14])[NH:15][c:16]2[n:17][n:18][n:19][nH:20]2)[n:21]1	4	1.3.7	12669
[NH2:2][c:3]1[cH:4][cH:5][c:6]([C:7](=[O:8])[O:9][CH3:10])[cH:11][cH:12]1.[c:1]1([F:23])[c:13]([C:14](=[O:15])[OH:16])[cH:17][cH:18][c:19]([F:20])[c:21]1[F:22]>C1CCOC1.[Li+].C[Si](C)(C)[N-][Si](C)(C)C>[FH:23].[c:1]1([NH:2][c:3]2[cH:4][cH:5][c:6]([C:7](=[O:8])[O:9][CH3:10])[cH:11][cH:12]2)[c:13]([C:14](=[O:15])[OH:16])[cH:17][cH:18][c:19]([F:20])[c:21]1[F:22]	5	1.3.8	21664
[NH2:1][c:2]1[c:3]([C:4](=[O:5])[NH:6][CH2:7][c:8]2[s:9][c:10]([O:11][c:12]3[cH:13][cH:14][cH:15][cH:16][cH:17]3)[cH:18][cH:19]2)[cH:20][cH:21][c:22]([NH:23][CH2:24][CH2:25][NH2:26])[n:36]1.[c:27]1([F:37])[cH:28][cH:29][c:30]([N+:31](=[O:32])[O-:33])[cH:34][cH:35]1>CS(C)=O.O.CCN(C(C)C)C(C)C>[FH:37].[NH2:1][c:2]1[c:3]([C:4](=[O:5])[NH:6][CH2:7][c:8]2[s:9][c:10]([O:11][c:12]3[cH:13][cH:14][cH:15][cH:16][cH:17]3)[cH:18][cH:19]2)[cH:20][cH:21][c:22]([NH:23][CH2:24][CH2:25][NH:26][c:27]2[cH:28][cH:29][c:30]([N+:31](=[O:32])[O-:33])[cH:34][cH:35]2)[n:36]1	5	1.3.8	26694
[CH:1]1([c:2]2[o:3][c:4]3[c:5]([n:6]2)[c:7]([C:8]#[N:9])[c:10]([CH3:11])[c:12](-[c:13]2[n:14][c:15]([CH3:16])[s:17][cH:18]2)[c:19]3[F:30])[CH2:28][CH2:29]1.[NH:20]1[CH2:21][C@@H:22]([N:23]([CH3:24])[CH3:25])[CH2:26][CH2:27]1>CS(C)=O.O.CCN(CC)CC>[CH:1]1([c:2]2[o:3][c:4]3[c:5]([n:6]2)[c:7]([C:8]#[N:9])[c:10]([CH3:11])[c:12](-[c:13]2[n:14][c:15]([CH3:16])[s:17][cH:18]2)[c:19]3[N:20]2[CH2:21][C@@H:22]([N:23]([CH3:24])[CH3:25])[CH2:26][CH2:27]2)[CH2:28][CH2:29]1.[FH:30]	5	1.3.8	1160
[CH:1]1([n:2]2[cH:3][c:4]([C:5](=[O:6])[OH:7])[c:8](=[O:9])[c:10]3[c:11]([F:12])[c:13]([F:14])[c:15]([F:31])[c:26]([F:27])[c:28]23)[CH2:29][CH2:30]1.[NH2:16][CH2:17][CH2:18][NH:19][c:20]1[n:21][cH:22][cH:23][cH:24][cH:25]1>CCO.CCN(CC)CC>[CH:1]1([n:2]2[cH:3][c:4]([C:5](=[O:6])[OH:7])[c:8](=[O:9])[c:10]3[c:11]([F:12])[c:13]([F:14])[c:15]([NH:16][CH2:17][CH2:18][NH:19][c:20]4[n:21][cH:22][cH:23][cH:24][cH:25]4)[c:26]([F:27])[c:28]23)[CH2:29][CH2:30]1.[FH:31]	5	1.3.8	31432
[CH2:1]1[CH2:2][CH2:3][NH:4][CH2:20]1.[c:5]1([F:21])[c:6]([F:7])[cH:8][c:9]2[c:10](=[O:11])[n:12]([OH:13])[c:14](=[O:15])[n:16]([CH3:17])[c:18]2[cH:19]1>CC#N.CCN(CC)CC.ClC(Cl)Cl>[CH2:1]1[CH2:2][CH2:3][N:4]([c:5]2[c:6]([F:7])[cH:8][c:9]3[c:10](=[O:11])[n:12]([OH:13])[c:14](=[O:15])[n:16]([CH3:17])[c:18]3[cH:19]2)[CH2:20]1.[FH:21]	5	1.3.8	36102
[NH2:1][C@H:2]([CH2:3][CH2:4][OH:5])[C:6]([OH:7])=[O:8].[c:9]1([F:19])[cH:10][cH:11][c:12]([C:13]#[N:14])[c:15]([Cl:16])[c:17]1[CH3:18]>CS(C)=O.[K+].[K+].O=C([O-])[O-]>[FH:19].[NH:1]([C@H:2]([CH2:3][CH2:4][OH:5])[C:6]([OH:7])=[O:8])[c:9]1[cH:10][cH:11][c:12]([C:13]#[N:14])[c:15]([Cl:16])[c:17]1[CH3:18]	5	1.3.8	12631
[CH3:1][C@@H:2]1[NH:3][CH2:14][CH2:15][C@@:16]1([OH:17])[CH2:18][CH2:19][CH3:20].[c:4]1([F:21])[cH:5][c:6]([O:7][CH3:8])[c:9]([C:10]#[N:11])[cH:12][cH:13]1>[Li+].[Li+].O=C([O-])[O-]>[CH3:1][C@@H:2]1[N:3]([c:4]2[cH:5][c:6]([O:7][CH3:8])[c:9]([C:10]#[N:11])[cH:12][cH:13]2)[CH2:14][CH2:15][C@@:16]1([OH:17])[CH2:18][CH2:19][CH3:20].[FH:21]	5	1.3.8	14752
[F:1][c:2]1[n:3][c:4]([F:11])[cH:8][cH:9][cH:10]1.[NH2:5][CH:6]=[O:7]>O.CCOC(C)=O>[F:1][c:2]1[n:3][c:4]([NH:5][CH:6]=[O:7])[cH:8][cH:9][cH:10]1.[FH:11]	5	1.3.8	17238
[CH2:2]([c:3]1[cH:4][c:5]([N+:6](=[O:7])[O-:8])[cH:9][cH:10][cH:11]1)[Br:29].[NH:1]1[CH2:12][CH2:13][CH:14]([C:15](=[O:16])[N:17]2[CH2:18][c:19]3[cH:20][cH:21][cH:22][cH:23][c:24]3[CH2:25][CH2:26]2)[CH2:27][CH2:28]1>CC(C)=O.[K+].[K+].O=C([O-])[O-]>[BrH:29].[N:1]1([CH2:2][c:3]2[cH:4][c:5]([N+:6](=[O:7])[O-:8])[cH:9][cH:10][cH:11]2)[CH2:12][CH2:13][CH:14]([C:15](=[O:16])[N:17]2[CH2:18][c:19]3[cH:20][cH:21][cH:22][cH:23][c:24]3[CH2:25][CH2:26]2)[CH2:27][CH2:28]1	6	1.6.2	5499
[C:1](#[N:2])[c:3]1[cH:4][c:5]2[c:6]3[c:7]([nH:8][c:17]2[cH:18][cH:19]1)[CH2:20][CH:21]([NH:22][C:23]([CH:24]([CH3:25])[CH3:26])=[O:27])[CH2:28]3.[CH2:9]([c:10]1[cH:11][cH:12][cH:13][c:14]([F:15])[n:16]1)[Br:29]>CCOC(C)=O.CN(C)C=O.[Cs+].[Cs+].O=C([O-])[O-]>[BrH:29].[C:1](#[N:2])[c:3]1[cH:4][c:5]2[c:6]3[c:7]([n:8]([CH2:9][c:10]4[cH:11][cH:12][cH:13][c:14]([F:15])[n:16]4)[c:17]2[cH:18][cH:19]1)[CH2:20][CH:21]([NH:22][C:23]([CH:24]([CH3:25])[CH3:26])=[O:27])[CH2:28]3	6	1.6.2	6754
[CH2:11]([CH2:12][CH2:13][n:14]1[n:15][n:16][c:17]2[c:18]1[cH:19][cH:20][cH:21][cH:22]2)[Br:30].[Cl:1][c:2]1[cH:3][c:4]2[c:5]([n:6]([CH:7]3[CH2:8][CH2:9][NH:10][CH2:23][CH2:24]3)[c:25](=[O:26])[nH:27]2)[cH:28][cH:29]1>O.[Na+].[Na+].CC(=O)CC(C)C.O=C([O-])[O-]>[BrH:30].[Cl:1][c:2]1[cH:3][c:4]2[c:5]([n:6]([CH:7]3[CH2:8][CH2:9][N:10]([CH2:11][CH2:12][CH2:13][n:14]4[n:15][n:16][c:17]5[c:18]4[cH:19][cH:20][cH:21][cH:22]5)[CH2:23][CH2:24]3)[c:25](=[O:26])[nH:27]2)[cH:28][cH:29]1	6	1.6.2	9582
[CH2:7]([CH2:8][CH:9]=[C:10]1[c:11]2[c:12]([cH:13][cH:14][c:15]([C:16]([CH3:17])([CH3:18])[OH:19])[cH:20]2)[O:21][CH2:22][c:23]2[c:24]1[cH:25][cH:26][cH:27][n:28]2)[Br:36].[c:1]1([C:2]2([OH:3])[CH2:4][CH2:5][NH:6][CH2:29][CH2:30]2)[cH:31][cH:32][cH:33][cH:34][cH:35]1>CC(C)O.[K+].[I-].Cc1cccc(C)n1>[BrH:36].[c:1]1([C:2]2([OH:3])[CH2:4][CH2:5][N:6]([CH2:7][CH2:8][CH:9]=[C:10]3[c:11]4[c:12]([cH:13][cH:14][c:15]([C:16]([CH3:17])([CH3:18])[OH:19])[cH:20]4)[O:21][CH2:22][c:23]4[c:24]3[cH:25][cH:26][cH:27][n:28]4)[CH2:29][CH2:30]2)[cH:31][cH:32][cH:33][cH:34][cH:35]1	6	1.6.2	1159
[CH2:4]([c:5]1[c:6]([F:7])[cH:8][c:9]([C:10]([O:11][CH3:12])=[O:13])[cH:14][cH:15]1)[Br:16].[N-:1]=[N+:2]=[N-:3]>CCOC(C)=O.CN(C)C=O.[Na+]>[BrH:16].[N:1](=[N+:2]=[N-:3])[CH2:4][c:5]1[c:6]([F:7])[cH:8][c:9]([C:10]([O:11][CH3:12])=[O:13])[cH:14][cH:15]1	6	1.6.2	15153
[CH2:1]([CH2:2][c:3]1[cH:4][nH:5][c:6]2[cH:7][cH:8][c:9]([F:10])[cH:11][c:12]12)[Br:18].[nH:13]1[cH:14][n:15][cH:16][cH:17]1>C1COCCO1.CCN(C(C)C)C(C)C>[BrH:18].[CH2:1]([CH2:2][c:3]1[cH:4][nH:5][c:6]2[cH:7][cH:8][c:9]([F:10])[cH:11][c:12]12)[n:13]1[cH:14][n:15][cH:16][cH:17]1	6	1.6.2	11333
[CH2:16]([CH:17]1[CH2:18][CH2:19]1)[Br:28].[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]2[c:7]([cH:8]1)[C@@:9]13[C@:10]([O:11][CH3:12])([C@@H:13]([CH2:14]2)[NH:15][CH2:20][CH2:21]1)[C@H:22]([CH3:23])[CH2:24][C:25](=[O:26])[CH2:27]3>CCO.[Na+].[Na+].Cl.O=C([O-])[O-]>[BrH:28].[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]2[c:7]([cH:8]1)[C@@:9]13[C@:10]([O:11][CH3:12])([C@@H:13]([CH2:14]2)[N:15]([CH2:16][CH:17]2[CH2:18][CH2:19]2)[CH2:20][CH2:21]1)[C@H:22]([CH3:23])[CH2:24][C:25](=[O:26])[CH2:27]3	6	1.6.2	1245
[CH3:1][O:2][C:3]([c:4]1[cH:5][cH:6][c:7]([O:8][CH2:9][CH2:10][NH:11][C:12](=[O:13])[c:14]2[o:15][c:16]3[c:17]([c:18]2[CH2:19][Br:30])[cH:23][cH:24][cH:25][cH:26]3)[cH:27][cH:28]1)=[O:29].[NH:20]([CH3:21])[CH3:22]>ClCCl.Clc1ccccc1.C1CCOC1>[BrH:30].[CH3:1][O:2][C:3]([c:4]1[cH:5][cH:6][c:7]([O:8][CH2:9][CH2:10][NH:11][C:12](=[O:13])[c:14]2[o:15][c:16]3[c:17]([c:18]2[CH2:19][N:20]([CH3:21])[CH3:22])[cH:23][cH:24][cH:25][cH:26]3)[cH:27][cH:28]1)=[O:29]	6	1.6.2	9350
[CH2:12]([c:13]1[cH:14][cH:15][c:16]([CH2:17][NH:18][S:19](=[O:20])(=[O:21])[c:22]2[n:23][cH:24][cH:25][cH:26][cH:27]2)[cH:28][cH:29]1)[Cl:30].[NH2:1][CH:2]1[CH2:3][CH2:4][CH2:5][c:6]2[cH:7][cH:8][cH:9][n:10][c:11]21>CCN(C(C)C)C(C)C>[ClH:30].[NH:1]([CH:2]1[CH2:3][CH2:4][CH2:5][c:6]2[cH:7][cH:8][cH:9][n:10][c:11]21)[CH2:12][c:13]1[cH:14][cH:15][c:16]([CH2:17][NH:18][S:19](=[O:20])(=[O:21])[c:22]2[n:23][cH:24][cH:25][cH:26][cH:27]2)[cH:28][cH:29]1	7	1.6.4	18513
[Cl:1][CH2:15][CH2:16][CH:17]([c:18]1[cH:19][cH:20][cH:21][cH:22][cH:23]1)[c:24]1[cH:25][cH:26][cH:27][cH:28][cH:29]1.[NH2:2][CH:3]([CH3:4])[c:5]1[cH:6][c:7]([O:8][CH3:9])[c:10]([O:11][CH3:12])[cH:13][cH:14]1>CCCCO.[K+].[K+].O=C([O-])[O-]>[ClH:1].[NH:2]([CH:3]([CH3:4])[c:5]1[cH:6][c:7]([O:8][CH3:9])[c:10]([O:11][CH3:12])[cH:13][cH:14]1)[CH2:15][CH2:16][CH:17]([c:18]1[cH:19][cH:20][cH:21][cH:22][cH:23]1)[c:24]1[cH:25][cH:26][cH:27][cH:28][cH:29]1	7	1.6.4	13864
[CH2:8]([CH2:9][CH2:10][N:11]1[CH2:12][CH2:13][CH2:14][CH2:15][CH2:16]1)[Cl:26].[nH:1]1[cH:2][c:3]([CH:4]2[C:5](=[O:6])[NH:7][C:17](=[O:18])[NH:19]2)[c:20]2[cH:21][cH:22][cH:23][cH:24][c:25]12>CN(C)C=O.[Na].Cl>[ClH:26].[nH:1]1[cH:2][c:3]([CH:4]2[C:5](=[O:6])[N:7]([CH2:8][CH2:9][CH2:10][N:11]3[CH2:12][CH2:13][CH2:14][CH2:15][CH2:16]3)[C:17](=[O:18])[NH:19]2)[c:20]2[cH:21][cH:22][cH:23][cH:24][c:25]12	7	1.6.4	11293
[C:18]([CH3:19])(=[O:20])[Cl:21].[NH:1]=[C:2]1[NH:3][SH:4]([c:5]2[cH:6][cH:7][cH:8][cH:9][cH:10]2)(=[O:11])[c:12]2[c:13]1[cH:14][cH:15][cH:16][cH:17]2>C1COCCO1.O.CCN(CC)CC>[ClH:21].[N:1](=[C:2]1[NH:3][SH:4]([c:5]2[cH:6][cH:7][cH:8][cH:9][cH:10]2)(=[O:11])[c:12]2[c:13]1[cH:14][cH:15][cH:16][cH:17]2)[C:18]([CH3:19])=[O:20]	7	1.6.4	863
[Cl:1][CH2:9][CH2:10][N:11]([CH3:12])[CH3:13].[c:2]1([S:3](=[O:4])(=[O:5])[c:6]2[cH:7][nH:8][c:14]3[n:15][cH:16][cH:17][cH:18][c:19]23)[cH:20][cH:21][cH:22][cH:23][cH:24]1>CN(C)C=O.Cl.[H-].[Na+]>[ClH:1].[c:2]1([S:3](=[O:4])(=[O:5])[c:6]2[cH:7][n:8]([CH2:9][CH2:10][N:11]([CH3:12])[CH3:13])[c:14]3[n:15][cH:16][cH:17][cH:18][c:19]23)[cH:20][cH:21][cH:22][cH:23][cH:24]1	7	1.6.4	1374
[CH2:1]([CH2:2][O:3][c:4]1[n:5][nH:6][c:7]2[n:8][cH:9][n:10][c:11]([NH:12][c:13]3[cH:14][c:15]([CH3:16])[c:17]([O:18][c:19]4[cH:20][n:21][c:22]([CH3:23])[cH:24][cH:25]4)[cH:26][cH:27]3)[c:28]12)[Cl:36].[NH:29]1[CH2:30][CH2:31][N:32]([CH3:33])[CH2:34][CH2:35]1>>[CH2:1]([CH2:2][O:3][c:4]1[n:5][nH:6][c:7]2[n:8][cH:9][n:10][c:11]([NH:12][c:13]3[cH:14][c:15]([CH3:16])[c:17]([O:18][c:19]4[cH:20][n:21][c:22]([CH3:23])[cH:24][cH:25]4)[cH:26][cH:27]3)[c:28]12)[N:29]1[CH2:30][CH2:31][N:32]([CH3:33])[CH2:34][CH2:35]1.[ClH:36]	7	1.6.4	10662
[CH2:1]([c:2]1[c:3]([CH3:4])[c:5]([NH:6][c:7]2[s:8][c:9]([C:10]#[N:11])[cH:12][n:13]2)[n:14][cH:15][cH:16]1)[OH:27].[NH2+:17]1[CH2:18][CH2:19][N:20]([C:21]([NH:22][CH3:23])=[O:24])[CH2:25][CH2:26]1>CS(C)=O.ClCCl.[Cl-].CCN(C(C)C)C(C)C.Cc1c(CCl)ccnc1Nc1ncc(C#N)s1.CN(C)C=O.O=P(Cl)(Cl)Cl>[CH2:1]([c:2]1[c:3]([CH3:4])[c:5]([NH:6][c:7]2[s:8][c:9]([C:10]#[N:11])[cH:12][n:13]2)[n:14][cH:15][cH:16]1)[N:17]1[CH2:18][CH2:19][N:20]([C:21]([NH:22][CH3:23])=[O:24])[CH2:25][CH2:26]1.[OH2:27]	7	1.6.4	3287
[CH2:7]([c:8]1[cH:9][cH:10][c:11]([CH:12]([CH3:13])[NH:14][C:15]([CH3:16])=[O:17])[cH:18][cH:19]1)[Cl:26].[n:1]1[c:2]([N:3]2[CH2:4][CH2:5][NH:6][CH2:20][CH2:21]2)[n:22][cH:23][cH:24][cH:25]1>>[ClH:26].[n:1]1[c:2]([N:3]2[CH2:4][CH2:5][N:6]([CH2:7][c:8]3[cH:9][cH:10][c:11]([CH:12]([CH3:13])[NH:14][C:15]([CH3:16])=[O:17])[cH:18][cH:19]3)[CH2:20][CH2:21]2)[n:22][cH:23][cH:24][cH:25]1	7	1.6.4	18916
[CH3:1][O:2][C:3]([CH2:4][c:5]1[c:6]([CH3:7])[nH:8][c:16]2[n:17][cH:18][cH:19][cH:20][c:21]12)=[O:22].[c:9]1([I:23])[cH:10][cH:11][c:12]([Cl:13])[cH:14][cH:15]1>CCOC(C)=O.[Cu]I.C1COCCO1.[K+].[K+].[K+].NC1CCCCC1N.O=P([O-])([O-])[O-]>[CH3:1][O:2][C:3]([CH2:4][c:5]1[c:6]([CH3:7])[n:8](-[c:9]2[cH:10][cH:11][c:12]([Cl:13])[cH:14][cH:15]2)[c:16]2[n:17][cH:18][cH:19][cH:20][c:21]12)=[O:22].[IH:23]	8	1.6.8	15492
[C:11](=[O:18])([O-:19])[O-:20].[I:1][c:2]1[cH:3][cH:4][c:5]([NH:6][S:7](=[O:8])(=[O:9])[CH3:10])[c:12]([C:13](=[O:14])[O:15][CH3:16])[cH:17]1>CN(C)C=O.[K+].[K+].CI>[I:1][c:2]1[cH:3][cH:4][c:5]([N:6]([S:7](=[O:8])(=[O:9])[CH3:10])[CH3:11])[c:12]([C:13](=[O:14])[O:15][CH3:16])[cH:17]1.[OH-:19].[OH-:20].[OH2:18]	8	1.6.8	26554
[C:27](=[O:29])([O-:30])[O-:31].[CH3:1][O:2][CH2:3][n:4]1[c:5]([C:6](=[O:7])[O:8][CH2:9][CH3:10])[cH:11][c:12]2[c:13]([CH3:14])[cH:15][cH:16][c:17]([NH:18][S:19](=[O:20])(=[O:21])[c:22]3[s:23][cH:24][cH:25][cH:26]3)[c:28]12>CN(C)C=O.[K+].[K+].CI>[CH3:1][O:2][CH2:3][n:4]1[c:5]([C:6](=[O:7])[O:8][CH2:9][CH3:10])[cH:11][c:12]2[c:13]([CH3:14])[cH:15][cH:16][c:17]([N:18]([S:19](=[O:20])(=[O:21])[c:22]3[s:23][cH:24][cH:25][cH:26]3)[CH3:27])[c:28]12.[OH-:30].[OH-:31].[OH2:29]	8	1.6.8	1366
[C:2](=[O:32])([O-:33])[O-:34].[nH:1]1[c:3]([C:4](=[O:5])[c:6]2[cH:7][cH:8][c:9]([O:10][c:11]3[n:12][cH:13][cH:14][n:15][c:16]3[N:17]3[CH2:18][CH2:19][O:20][CH2:21][CH2:22]3)[cH:23][cH:24]2)[n:25][c:26]2[c:27]1[cH:28][cH:29][cH:30][cH:31]2>CO.CN(C)C=O.[Cs+].[Cs+].CI>[OH-:33].[OH-:34].[OH2:32].[n:1]1([CH3:2])[c:3]([C:4](=[O:5])[c:6]2[cH:7][cH:8][c:9]([O:10][c:11]3[n:12][cH:13][cH:14][n:15][c:16]3[N:17]3[CH2:18][CH2:19][O:20][CH2:21][CH2:22]3)[cH:23][cH:24]2)[n:25][c:26]2[c:27]1[cH:28][cH:29][cH:30][cH:31]2	8	1.6.8	20369
[CH2:1]([CH:2]([CH2:3][CH2:4][CH2:5][CH2:6][CH2:7][CH2:8][CH2:9][CH2:10][CH2:11][CH3:12])[NH:13][C:14]([O:15][C:16]([CH3:17])([CH3:18])[CH3:19])=[O:20])[I:24].[N-:21]=[N+:22]=[N-:23]>CN(C)C=O.[Na+]>[CH2:1]([CH:2]([CH2:3][CH2:4][CH2:5][CH2:6][CH2:7][CH2:8][CH2:9][CH2:10][CH2:11][CH3:12])[NH:13][C:14]([O:15][C:16]([CH3:17])([CH3:18])[CH3:19])=[O:20])[N:21]=[N+:22]=[N-:23].[IH:24]	8	1.6.8	30727
[CH3:1][O:2][C:3](=[O:4])[C@@H:5]1[CH2:6][CH2:7][C@@H:8]([CH2:9][NH:10][S:11](=[O:12])(=[O:13])[c:14]2[cH:15][cH:16][c:17]([C:18]([F:19])([F:20])[F:21])[cH:22][cH:23]2)[CH2:25][CH2:26]1.[CH3:24][I:27]>CO.CN(C)C=O.[Na]>[CH3:1][O:2][C:3](=[O:4])[C@@H:5]1[CH2:6][CH2:7][C@@H:8]([CH2:9][N:10]([S:11](=[O:12])(=[O:13])[c:14]2[cH:15][cH:16][c:17]([C:18]([F:19])([F:20])[F:21])[cH:22][cH:23]2)[CH3:24])[CH2:25][CH2:26]1.[IH:27]	8	1.6.8	29445
[CH3:6][C:17]([CH3:16])([CH3:18])[O-:19].[o:1]1[c:2](-[c:3]2[n:4][nH:5][c:7]3[cH:8][cH:9][cH:10][cH:11][c:12]23)[cH:13][cH:14][cH:15]1>[K+].CI>[CH3:16][CH:17]([CH3:18])[O-:19].[o:1]1[c:2](-[c:3]2[n:4][n:5]([CH3:6])[c:7]3[cH:8][cH:9][cH:10][cH:11][c:12]23)[cH:13][cH:14][cH:15]1	8	1.6.8	31452
[NH2:1][c:2]1[n:3][cH:4][c:5]([I:46])[c:20]2[c:21]1[c:22](-[c:23]1[cH:24][c:25]([O:26][CH3:27])[c:28]([NH:29][C:30](=[O:31])[c:32]3[n:33]([CH3:34])[c:35]4[cH:36][cH:37][cH:38][cH:39][c:40]4[cH:41]3)[cH:42][cH:43]1)[cH:44][s:45]2.[NH:6]=[C:7]([c:8]1[cH:9][cH:10][cH:11][cH:12][cH:13]1)[c:14]1[cH:15][cH:16][cH:17][cH:18][cH:19]1>[Pd].[Pd].CN(C)C=O.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.[Na+].CC(C)(C)[O-].C1COCCOCCOCCOCCOCCO1>[IH:46].[NH2:1][c:2]1[n:3][cH:4][c:5]([N:6]=[C:7]([c:8]2[cH:9][cH:10][cH:11][cH:12][cH:13]2)[c:14]2[cH:15][cH:16][cH:17][cH:18][cH:19]2)[c:20]2[c:21]1[c:22](-[c:23]1[cH:24][c:25]([O:26][CH3:27])[c:28]([NH:29][C:30](=[O:31])[c:32]3[n:33]([CH3:34])[c:35]4[cH:36][cH:37][cH:38][cH:39][c:40]4[cH:41]3)[cH:42][cH:43]1)[cH:44][s:45]2	8	1.6.8	21324
[CH3:20][I:21].[OH:1][c:2]1[c:3]([C:4](=[O:5])[O:6][CH3:7])[cH:8][cH:9][c:10]([O:11][CH2:12][c:13]2[cH:14][cH:15][cH:16][cH:17][cH:18]2)[cH:19]1>CN(C)C=O.[H-].[Na+]>[IH:21].[O:1]([c:2]1[c:3]([C:4](=[O:5])[O:6][CH3:7])[cH:8][cH:9][c:10]([O:11][CH2:12][c:13]2[cH:14][cH:15][cH:16][cH:17][cH:18]2)[cH:19]1)[CH3:20]	9	1.7.4	23027
[C:14](=[O:15])([O-:16])[O-:17].[OH:1][c:2]1[c:3]2[c:4]([cH:5][cH:6][cH:7]1)[N:8]([CH3:9])[C:10](=[O:11])[CH:12]2[CH3:13]>CC(C)=O.[K+].[K+].COS(=O)(=O)OC>[O:1]([c:2]1[c:3]2[c:4]([cH:5][cH:6][cH:7]1)[N:8]([CH3:9])[C:10](=[O:11])[CH:12]2[CH3:13])[CH3:14].[OH-:16].[OH-:17].[OH2:15]	9	1.7.4	32718
[C:9](=[O:15])([O-:16])[O-:17].[CH:1]([c:2]1[cH:3][c:4]([O:5][CH3:6])[c:7]([OH:8])[c:10]([O:11][CH3:12])[cH:13]1)=[O:14]>[K+].[K+].COP(=O)(OC)OC>[CH:1]([c:2]1[cH:3][c:4]([O:5][CH3:6])[c:7]([O:8][CH3:9])[c:10]([O:11][CH3:12])[cH:13]1)=[O:14].[OH-:16].[OH-:17].[OH2:15]	9	1.7.4	47669
[C:8](=[O:12])([O-:13])[O-:14].[CH:1]([CH3:2])([CH3:3])[c:4]1[cH:5][c:6]([OH:7])[cH:9][cH:10][cH:11]1>CC(C)=O.[K+].[K+].CI>[CH:1]([CH3:2])([CH3:3])[c:4]1[cH:5][c:6]([O:7][CH3:8])[cH:9][cH:10][cH:11]1.[OH-:13].[OH-:14].[OH2:12]	9	1.7.4	8155
[CH2:16]=[N+:20]=[N-:19].[OH:1][CH2:2][C@H:3]1[O:4][C@@H:5]([n:6]2[cH:7][cH:8][c:9](=[O:10])[nH:11][c:12]2=[O:13])[C@H:14]([OH:15])[C@@H:17]1[OH:18]>O.O.[Cl-]>[N-:19]=[NH2+:20].[OH:1][CH2:2][C@H:3]1[O:4][C@@H:5]([n:6]2[cH:7][cH:8][c:9](=[O:10])[nH:11][c:12]2=[O:13])[C@H:14]([O:15][CH3:16])[C@@H:17]1[OH:18]	9	1.7.4	26942
[CH3:14][I:15].[CH3:1][C:2]([CH2:3][n:4]1[n:5][c:6]([N+:7](=[O:8])[O-:9])[cH:10][cH:11]1)([CH3:12])[OH:13]>CN(C)C=O.[H-].[Na+]>[CH3:1][C:2]([CH2:3][n:4]1[n:5][c:6]([N+:7](=[O:8])[O-:9])[cH:10][cH:11]1)([CH3:12])[O:13][CH3:14].[IH:15]	9	1.7.4	47113
