reaction	reaction_type	raw_id	original_reaction_type
[CH2:11]([CH:12]([CH2:13][Cl:14])[OH:15])[Cl:16].[OH:1][c:2]1[cH:3][cH:4][cH:5][c:6]2[c:7]1[cH:8][n:9][s:10]2>O.C(Cl)Cl.[OH-].[Na+]>[ClH:16].[O:1]([c:2]1[cH:3][cH:4][cH:5][c:6]2[c:7]1[cH:8][n:9][s:10]2)[CH2:11][CH:12]([CH2:13][Cl:14])[OH:15]	26	57670	74
[CH2:12]([CH2:13][Cl:14])[Cl:15].[OH:1][c:2]1[cH:3][c:4]([CH:5]=[O:6])[cH:7][cH:8][c:9]1[O:10][CH3:11]>CN(C=O)C.O=C([O-])[O-].[K+].[K+]>[ClH:15].[O:1]([c:2]1[cH:3][c:4]([CH:5]=[O:6])[cH:7][cH:8][c:9]1[O:10][CH3:11])[CH2:12][CH2:13][Cl:14]	26	113333	74
[CH2:26]([CH2:27][N:28]([CH2:29][CH3:30])[CH2:31][CH3:32])[CH2:34][Cl:33].[CH3:1][O:2][c:3]1[cH:4][c:5]([C:6](=[O:7])[c:8]2[c:9](-[c:10]3[cH:11][cH:12][cH:13][cH:14][cH:15]3)[o:16][c:17]3[c:18]2[cH:19][cH:20][cH:21][cH:22]3)[cH:23][cH:24][cH:25]1>O=C(c1cccc(O)c1)c1c(-c2ccccc2)oc2ccccc12>[CH2:1]([O:2][c:3]1[cH:4][c:5]([C:6](=[O:7])[c:8]2[c:9](-[c:10]3[cH:11][cH:12][cH:13][cH:14][cH:15]3)[o:16][c:17]3[c:18]2[cH:19][cH:20][cH:21][cH:22]3)[cH:23][cH:24][cH:25]1)[CH2:26][CH2:27][N:28]([CH2:29][CH3:30])[CH2:31][CH3:32].[Cl:33][CH3:34]	26	282935	74
[CH2:30]([CH2:31][Cl:32])[Br:33].[OH:1][c:2]1[c:3]([O:4][CH3:5])[cH:6][c:7]2[c:8]([O:9][c:10]3[c:11]([C:12](=[O:13])[c:14]4[cH:15][cH:16][cH:17][cH:18][cH:19]4)[cH:20][c:21]([CH3:22])[cH:23][cH:24]3)[cH:25][cH:26][n:27][c:28]2[cH:29]1>CN(C)C=O.O=C([O-])[O-].[K+].[K+].O>[BrH:33].[O:1]([c:2]1[c:3]([O:4][CH3:5])[cH:6][c:7]2[c:8]([O:9][c:10]3[c:11]([C:12](=[O:13])[c:14]4[cH:15][cH:16][cH:17][cH:18][cH:19]4)[cH:20][c:21]([CH3:22])[cH:23][cH:24]3)[cH:25][cH:26][n:27][c:28]2[cH:29]1)[CH2:30][CH2:31][Cl:32]	27	186444	75
[CH2:9]([CH:10]1[CH2:11][CH2:12]1)[Br:19].[Cl:1][c:2]1[n:3][c:4]2[cH:5][cH:6][c:7]([OH:8])[cH:13][c:14]2[cH:15][c:16]1[CH:17]=[O:18]>CN(C=O)C.O=C([O-])[O-].[Cs+].[Cs+]>[BrH:19].[Cl:1][c:2]1[n:3][c:4]2[cH:5][cH:6][c:7]([O:8][CH2:9][CH:10]3[CH2:11][CH2:12]3)[cH:13][c:14]2[cH:15][c:16]1[CH:17]=[O:18]	27	218813	75
[CH2:10]([CH2:11][Br:12])[Br:13].[OH:1][c:2]1[cH:3][cH:4][c:5]([CH:6]=[O:7])[cH:8][cH:9]1>C(O)C.O=C([O-])[O-].[K+].[K+]>[BrH:13].[O:1]([c:2]1[cH:3][cH:4][c:5]([CH:6]=[O:7])[cH:8][cH:9]1)[CH2:10][CH2:11][Br:12]	27	23427	75
[CH2:1]([CH3:2])[O:3][c:4]1[cH:5][c:6]([C:7]([CH2:8][CH2:9][C:10](=[O:11])[NH:12][c:13]2[n:14][c:15]3[cH:16][cH:17][cH:18][cH:19][c:20]3[c:21](-[c:22]3[cH:23][cH:24][c:25]([OH:26])[cH:37][cH:38]3)[cH:39]2)=[O:40])[cH:41][cH:42][c:43]1[O:44][CH2:45][CH3:46].[CH2:27]([CH2:28][NH:29][C:30]([O:31][C:32]([CH3:33])([CH3:34])[CH3:35])=[O:36])[Br:47]>O.CN(C=O)C.O=C([O-])[O-].[K+].[K+].[I-].[K+]>[BrH:47].[CH2:1]([CH3:2])[O:3][c:4]1[cH:5][c:6]([C:7]([CH2:8][CH2:9][C:10](=[O:11])[NH:12][c:13]2[n:14][c:15]3[cH:16][cH:17][cH:18][cH:19][c:20]3[c:21](-[c:22]3[cH:23][cH:24][c:25]([O:26][CH2:27][CH2:28][NH:29][C:30]([O:31][C:32]([CH3:33])([CH3:34])[CH3:35])=[O:36])[cH:37][cH:38]3)[cH:39]2)=[O:40])[cH:41][cH:42][c:43]1[O:44][CH2:45][CH3:46]	27	379114	75
[CH2:1]([c:2]1[cH:3][cH:4][cH:5][cH:6][cH:7]1)[N:8]1[C:9](=[O:10])[CH2:11][O:12][C:13]2([CH2:14]1)[CH2:15][CH2:16][N:17]([c:18]1[cH:19][cH:20][c:21]([OH:22])[cH:31][cH:32]1)[CH2:33][CH2:34]2.[CH2:23]([CH2:24][CH2:25][N:26]1[CH2:27][CH2:28][CH2:29][CH2:30]1)[Br:35]>Br>[BrH:35].[CH2:1]([c:2]1[cH:3][cH:4][cH:5][cH:6][cH:7]1)[N:8]1[C:9](=[O:10])[CH2:11][O:12][C:13]2([CH2:14]1)[CH2:15][CH2:16][N:17]([c:18]1[cH:19][cH:20][c:21]([O:22][CH2:23][CH2:24][CH2:25][N:26]3[CH2:27][CH2:28][CH2:29][CH2:30]3)[cH:31][cH:32]1)[CH2:33][CH2:34]2	27	64233	75
[CH2:5]([CH2:6][CH2:7][CH2:8][CH2:9][CH2:10][CH2:11][CH3:12])[Br:39].[F:1][c:2]1[c:3]([OH:4])[c:13]2[c:14]([cH:15][c:16]1[F:17])[C:18]([F:19])([F:20])[CH:21]([c:22]1[cH:23][cH:24][c:25]([O:26][CH2:27][CH2:28][CH2:29][CH2:30][CH2:31][CH2:32][CH2:33][CH3:34])[cH:35][cH:36]1)[CH2:37][CH2:38]2>CCOCC>[BrH:39].[F:1][c:2]1[c:3]([O:4][CH2:5][CH2:6][CH2:7][CH2:8][CH2:9][CH2:10][CH2:11][CH3:12])[c:13]2[c:14]([cH:15][c:16]1[F:17])[C:18]([F:19])([F:20])[CH:21]([c:22]1[cH:23][cH:24][c:25]([O:26][CH2:27][CH2:28][CH2:29][CH2:30][CH2:31][CH2:32][CH2:33][CH3:34])[cH:35][cH:36]1)[CH2:37][CH2:38]2	27	388160	75
[CH2:1]([CH2:2][NH:3][C:4]([O:5][C:6]([CH3:7])([CH3:8])[CH3:9])=[O:10])[Br:21].[OH:11][c:12]1[cH:13][c:14]([C:15]#[N:16])[cH:17][cH:18][c:19]1[I:20]>CN(C=O)C.O=C([O-])[O-].[K+].[K+].CCOC(C)=O>[BrH:21].[CH2:1]([CH2:2][NH:3][C:4]([O:5][C:6]([CH3:7])([CH3:8])[CH3:9])=[O:10])[O:11][c:12]1[cH:13][c:14]([C:15]#[N:16])[cH:17][cH:18][c:19]1[I:20]	27	52517	75
[CH2:16]([CH2:17][CH2:18][CH2:19][CH2:20][CH2:21][O:22][c:23]1[c:24]([CH2:25][CH2:26][C:27]([O:28][CH2:29][CH3:30])=[O:31])[cH:32][c:33]([C:34](=[O:35])[c:36]2[cH:37][c:38]([C:39](=[O:40])[O:41][CH2:42][CH3:43])[cH:44][cH:45][cH:46]2)[cH:47][cH:48]1)[Br:49].[OH:1][c:2]1[c:3]([CH2:4][CH2:5][CH3:6])[c:7]2[c:8]([cH:9][cH:10]1)[C:11](=[O:12])[CH2:13][CH2:14][O:15]2>CC(=O)CC.O=C([O-])[O-].[K+].[K+]>[BrH:49].[O:1]([c:2]1[c:3]([CH2:4][CH2:5][CH3:6])[c:7]2[c:8]([cH:9][cH:10]1)[C:11](=[O:12])[CH2:13][CH2:14][O:15]2)[CH2:16][CH2:17][CH2:18][CH2:19][CH2:20][CH2:21][O:22][c:23]1[c:24]([CH2:25][CH2:26][C:27]([O:28][CH2:29][CH3:30])=[O:31])[cH:32][c:33]([C:34](=[O:35])[c:36]2[cH:37][c:38]([C:39](=[O:40])[O:41][CH2:42][CH3:43])[cH:44][cH:45][cH:46]2)[cH:47][cH:48]1	27	386903	75
[N:1]1([CH2:18][c:17]2[cH:16][cH:15][cH:14][cH:20][cH:19]2)[CH2:2][CH2:3][CH:4]([c:5]2[o:6][c:7]([CH3:8])[c:9]([CH3:10])[n:11]2)[CH2:12][CH2:13]1>[Pd].[H][H]>[NH:1]1[CH2:2][CH2:3][CH:4]([c:5]2[o:6][c:7]([CH3:8])[c:9]([CH3:10])[n:11]2)[CH2:12][CH2:13]1.[cH:14]1[cH:15][cH:16][c:17]([CH3:18])[cH:19][cH:20]1	28	186666	84
[OH:1][CH2:2][C:3]1([CH3:4])[CH2:5][CH:6]2[N:7]([CH2:8][CH2:9][N:10]([CH2:17][c:16]3[cH:15][cH:14][cH:13][cH:19][cH:18]3)[CH2:11]2)[CH2:12]1>CO.[Pd].O=C[O-].[NH4+]>[OH:1][CH2:2][C:3]1([CH3:4])[CH2:5][CH:6]2[N:7]([CH2:8][CH2:9][NH:10][CH2:11]2)[CH2:12]1.[cH:13]1[cH:14][cH:15][c:16]([CH3:17])[cH:18][cH:19]1	28	204774	84
[N:1]1([CH2:21][c:20]2[cH:19][cH:18][cH:17][cH:23][cH:22]2)[CH2:2][CH:3]([CH2:4][CH2:5][OH:6])[N:7]([c:8]2[c:9]([CH3:10])[cH:11][cH:12][cH:13][cH:14]2)[CH2:15][CH2:16]1>CO.[Pd]>[NH:1]1[CH2:2][CH:3]([CH2:4][CH2:5][OH:6])[N:7]([c:8]2[c:9]([CH3:10])[cH:11][cH:12][cH:13][cH:14]2)[CH2:15][CH2:16]1.[cH:17]1[cH:18][cH:19][c:20]([CH3:21])[cH:22][cH:23]1	28	17791	84
[N:1]1([CH2:19][c:18]2[cH:17][cH:16][cH:15][cH:21][cH:20]2)[CH2:2][CH2:3][C:4]2([CH2:5][CH2:6]1)[O:7][CH2:8][c:9]1[c:10]2[cH:11][n:12][cH:13][cH:14]1>FC(F)(F)CO.[Pd]>[NH:1]1[CH2:2][CH2:3][C:4]2([CH2:5][CH2:6]1)[O:7][CH2:8][c:9]1[c:10]2[cH:11][n:12][cH:13][cH:14]1.[cH:15]1[cH:16][cH:17][c:18]([CH3:19])[cH:20][cH:21]1	28	1270	84
[N:1]1([CH2:19][c:18]2[cH:17][cH:16][cH:15][cH:21][cH:20]2)[C@@H:2]([CH3:3])[CH2:4][N:5]([CH:6]2[CH2:7][CH2:8][N:9]([CH3:10])[CH2:11][CH2:12]2)[CH2:13][CH2:14]1>CO.[Pd]>[NH:1]1[C@@H:2]([CH3:3])[CH2:4][N:5]([CH:6]2[CH2:7][CH2:8][N:9]([CH3:10])[CH2:11][CH2:12]2)[CH2:13][CH2:14]1.[cH:15]1[cH:16][cH:17][c:18]([CH3:19])[cH:20][cH:21]1	28	186528	84
[N:1]1([CH2:19][c:18]2[cH:17][cH:16][cH:15][cH:21][cH:20]2)[CH2:2][C:3]([OH:4])([c:5]2[cH:6][c:7]([F:8])[c:9]([F:10])[cH:11][cH:12]2)[CH2:13][CH2:14]1>[Pd].CO.CC[SiH](CC)CC>[NH:1]1[CH2:2][C:3]([OH:4])([c:5]2[cH:6][c:7]([F:8])[c:9]([F:10])[cH:11][cH:12]2)[CH2:13][CH2:14]1.[cH:15]1[cH:16][cH:17][c:18]([CH3:19])[cH:20][cH:21]1	28	110121	84
[N:1]1([CH2:23][c:22]2[cH:21][cH:20][cH:19][cH:25][cH:24]2)[CH2:2][CH2:3][N:4]([CH2:5][c:6]2[c:7]([OH:8])[c:9]([O:10][CH3:11])[c:12]([O:13][CH3:14])[cH:15][cH:16]2)[CH2:17][CH2:18]1>C(O)C.[Pd]>[NH:1]1[CH2:2][CH2:3][N:4]([CH2:5][c:6]2[c:7]([OH:8])[c:9]([O:10][CH3:11])[c:12]([O:13][CH3:14])[cH:15][cH:16]2)[CH2:17][CH2:18]1.[cH:19]1[cH:20][cH:21][c:22]([CH3:23])[cH:24][cH:25]1	28	137424	84
[N:1]1([CH2:32][c:31]2[cH:30][cH:29][cH:28][cH:34][cH:33]2)[CH2:2][CH2:3][N:4]([CH2:5][CH:6]([CH2:7][O:8][CH2:9][CH2:10][CH2:11][CH2:12][CH2:13][CH2:14][CH2:15][CH2:16][CH2:17][CH2:18][CH2:19][CH2:20][CH2:21][CH2:22][CH2:23][CH3:24])[OH:25])[CH2:26][CH2:27]1>C1(C)C=CC=CC=1.[Pd].Cl.CO.C1CCOC1.[H][H]>[NH:1]1[CH2:2][CH2:3][N:4]([CH2:5][CH:6]([CH2:7][O:8][CH2:9][CH2:10][CH2:11][CH2:12][CH2:13][CH2:14][CH2:15][CH2:16][CH2:17][CH2:18][CH2:19][CH2:20][CH2:21][CH2:22][CH2:23][CH3:24])[OH:25])[CH2:26][CH2:27]1.[cH:28]1[cH:29][cH:30][c:31]([CH3:32])[cH:33][cH:34]1	28	16260	84
[CH3:1][c:2]1[n:3][c:4]2[n:5]([n:6][c:7]3[cH:8][cH:9][cH:10][cH:11][c:12]23)[c:13](-[c:14]2[cH:15][cH:16][c:17]([CH3:18])[cH:19][cH:20]2)[c:21]1[CH:22]([C:23](=[O:24])[O:25][CH3:29])[CH2:26][CH2:27][CH3:28]>CO.C(O)C.[OH-].[Na+]>[CH3:1][c:2]1[n:3][c:4]2[n:5]([n:6][c:7]3[cH:8][cH:9][cH:10][cH:11][c:12]23)[c:13](-[c:14]2[cH:15][cH:16][c:17]([CH3:18])[cH:19][cH:20]2)[c:21]1[CH:22]([C:23](=[O:24])[OH:25])[CH2:26][CH2:27][CH3:28].[CH4:29]	29	173072	88
[n:1]1(-[c:2]2[cH:3][cH:4][cH:5][c:6]([CH2:7][C:8](=[O:9])[O:10][CH3:16])[n:11]2)[n:12][n:13][n:14][cH:15]1>C1COCC1.[OH-].[Li+]>[CH4:16].[n:1]1(-[c:2]2[cH:3][cH:4][cH:5][c:6]([CH2:7][C:8](=[O:9])[OH:10])[n:11]2)[n:12][n:13][n:14][cH:15]1	29	131	88
[O:1]([C:2]([CH2:3][CH2:4][c:5]1[cH:6][cH:7][c:8]([O:9][CH2:10][C@@H:11]([CH2:12][c:13]2[cH:14][cH:15][cH:16][cH:17][cH:18]2)[O:19][c:20]2[cH:21][cH:22][c:23]([C:24]([C:25]([F:26])([F:27])[F:28])([C:29]([F:30])([F:31])[F:32])[OH:33])[cH:34][cH:35]2)[cH:36][cH:37]1)=[O:38])[CH3:39]>CCC(=O)O>[CH4:39].[O:1]=[C:2]([CH2:3][CH2:4][c:5]1[cH:6][cH:7][c:8]([O:9][CH2:10][C@@H:11]([CH2:12][c:13]2[cH:14][cH:15][cH:16][cH:17][cH:18]2)[O:19][c:20]2[cH:21][cH:22][c:23]([C:24]([C:25]([F:26])([F:27])[F:28])([C:29]([F:30])([F:31])[F:32])[OH:33])[cH:34][cH:35]2)[cH:36][cH:37]1)[OH:38]	29	350075	88
[OH:1][CH:2]([C:3](=[O:4])[O:5][CH3:36])[C:6]([c:7]1[cH:8][cH:9][c:10]([CH2:11][CH3:12])[cH:13][cH:14]1)([c:15]1[cH:16][cH:17][c:18]([CH2:19][CH3:20])[cH:21][cH:22]1)[O:23][CH2:24][CH2:25][c:26]1[cH:27][c:28]([O:29][CH3:30])[c:31]([O:32][CH3:33])[cH:34][cH:35]1>O1CCOCC1.[OH-].[Na+].O>[CH4:36].[OH:1][CH:2]([C:3](=[O:4])[OH:5])[C:6]([c:7]1[cH:8][cH:9][c:10]([CH2:11][CH3:12])[cH:13][cH:14]1)([c:15]1[cH:16][cH:17][c:18]([CH2:19][CH3:20])[cH:21][cH:22]1)[O:23][CH2:24][CH2:25][c:26]1[cH:27][c:28]([O:29][CH3:30])[c:31]([O:32][CH3:33])[cH:34][cH:35]1	29	173093	88
[O:1]([C:2](=[O:3])[CH:4]1[CH2:5][O:6][c:7]2[n:8][cH:9][cH:10][cH:11][c:12]21)[CH3:13]>CCO.CO.O.CCOC(C)=O.[Li]O.O>[CH4:13].[O:1]=[C:2]([OH:3])[CH:4]1[CH2:5][O:6][c:7]2[n:8][cH:9][cH:10][cH:11][c:12]21	29	44490	88
[c:1]1(-[c:2]2[cH:3][c:4]([O:5][CH2:6][CH2:7][CH2:8][CH2:9][C:10]([C:11](=[O:12])[NH:13][CH:14]([C:15](=[O:16])[O:17][CH3:42])[CH2:18][c:19]3[cH:20][cH:21][c:22]([OH:23])[cH:24][cH:25]3)([CH3:26])[CH3:27])[n:28][c:29](-[c:30]3[cH:31][cH:32][cH:33][cH:34][cH:35]3)[cH:36]2)[cH:37][cH:38][cH:39][cH:40][cH:41]1>O1CCCC1.O.O.[OH-].[Li+]>[CH4:42].[c:1]1(-[c:2]2[cH:3][c:4]([O:5][CH2:6][CH2:7][CH2:8][CH2:9][C:10]([C:11](=[O:12])[NH:13][CH:14]([C:15](=[O:16])[OH:17])[CH2:18][c:19]3[cH:20][cH:21][c:22]([OH:23])[cH:24][cH:25]3)([CH3:26])[CH3:27])[n:28][c:29](-[c:30]3[cH:31][cH:32][cH:33][cH:34][cH:35]3)[cH:36]2)[cH:37][cH:38][cH:39][cH:40][cH:41]1	29	378896	88
[CH3:1][N:2]([C:3](=[O:4])[c:5]1[cH:6][c:7]([CH2:8][C:9](=[O:10])[O:11][CH3:35])[cH:12][cH:13][c:14]1[NH:15][C:16](=[O:17])[c:18]1[c:19](-[c:20]2[cH:21][cH:22][c:23]([C:24]([F:25])([F:26])[F:27])[cH:28][cH:29]2)[cH:30][cH:31][cH:32][cH:33]1)[CH3:34]>C1COCC1.CO.[Li+].[OH-]>[CH3:1][N:2]([C:3](=[O:4])[c:5]1[cH:6][c:7]([CH2:8][C:9](=[O:10])[OH:11])[cH:12][cH:13][c:14]1[NH:15][C:16](=[O:17])[c:18]1[c:19](-[c:20]2[cH:21][cH:22][c:23]([C:24]([F:25])([F:26])[F:27])[cH:28][cH:29]2)[cH:30][cH:31][cH:32][cH:33]1)[CH3:34].[CH4:35]	29	9380	88
[Cl:1][c:2]1[c:3]([CH2:4][CH2:5][CH2:6][CH2:7][C:8](=[O:9])[O:10][CH3:16])[cH:11][cH:12][c:13]([OH:14])[cH:15]1>CO.[OH-].[Na+].Cl>[CH4:16].[Cl:1][c:2]1[c:3]([CH2:4][CH2:5][CH2:6][CH2:7][C:8](=[O:9])[OH:10])[cH:11][cH:12][c:13]([OH:14])[cH:15]1	29	383685	88
[N:1]([CH:2]([CH3:3])[c:4]1[n:5][cH:6][cH:7][n:8][cH:9]1)=[N+:11]=[N-:10]>[Pd].C(O)C>[N-:10]=[NH2+:11].[NH2:1][CH:2]([CH3:3])[c:4]1[n:5][cH:6][cH:7][n:8][cH:9]1	30	30163	89
[N:1]([C@H:2]1[CH2:3][CH2:4][C@@H:5]2[CH2:6][N:7]([CH2:8][c:9]3[cH:10][cH:11][cH:12][cH:13][cH:14]3)[CH2:15][C@H:16]12)=[N+:18]=[N-:17]>[Ni].C(O)C.[H][H]>[N-:17]=[NH2+:18].[NH2:1][C@H:2]1[CH2:3][CH2:4][C@@H:5]2[CH2:6][N:7]([CH2:8][c:9]3[cH:10][cH:11][cH:12][cH:13][cH:14]3)[CH2:15][C@H:16]12	30	34113	89
[N:1]([CH:2]([CH3:3])[c:4]1[cH:5][c:6]2[n:7]([c:8](=[O:9])[n:10]1-[c:11]1[cH:12][cH:13][cH:14][cH:15][cH:16]1)[c:17]([Cl:18])[cH:19][n:20]2)=[N+:22]=[N-:21]>C1COCC1.N.O.c1ccc(P(c2ccccc2)c2ccccc2)cc1>[N-:21]=[NH2+:22].[NH2:1][CH:2]([CH3:3])[c:4]1[cH:5][c:6]2[n:7]([c:8](=[O:9])[n:10]1-[c:11]1[cH:12][cH:13][cH:14][cH:15][cH:16]1)[c:17]([Cl:18])[cH:19][n:20]2	30	176201	89
[N:1]([CH:2]([CH2:3][c:4]1[cH:5][c:6]([Cl:7])[c:8]2[cH:9][cH:10][cH:11][n:12][c:13]2[c:14]1[O:15][CH2:16][c:17]1[cH:18][cH:19][cH:20][cH:21][cH:22]1)[c:23]1[cH:24][cH:25][c:26]([CH2:27][N:28]([CH3:29])[CH3:30])[o:31]1)=[N+:33]=[N-:32]>O1CCCC1.O.C(OCC)(=O)C.c1ccc(P(c2ccccc2)c2ccccc2)cc1>[N-:32]=[NH2+:33].[NH2:1][CH:2]([CH2:3][c:4]1[cH:5][c:6]([Cl:7])[c:8]2[cH:9][cH:10][cH:11][n:12][c:13]2[c:14]1[O:15][CH2:16][c:17]1[cH:18][cH:19][cH:20][cH:21][cH:22]1)[c:23]1[cH:24][cH:25][c:26]([CH2:27][N:28]([CH3:29])[CH3:30])[o:31]1	30	385113	89
[N:1]([CH2:2][C@@H:3]1[C@@H:4]([OH:5])[CH2:6][C@H:7]([n:8]2[c:9](=[O:10])[nH:11][c:12](=[O:13])[cH:14][cH:15]2)[O:16]1)=[N+:18]=[N-:17]>C(O)C.[C].[Pd]>[N-:17]=[NH2+:18].[NH2:1][CH2:2][C@@H:3]1[C@@H:4]([OH:5])[CH2:6][C@H:7]([n:8]2[c:9](=[O:10])[nH:11][c:12](=[O:13])[cH:14][cH:15]2)[O:16]1	30	76963	89
[C:1]([CH3:2])([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[N:8]1[CH2:9][CH:10]([CH2:11][N:12]=[N+:19]=[N-:18])[CH:13]([O:14][CH3:15])[CH2:16][CH2:17]1>C(OCC)(=O)C.[Pd].[H][H]>[C:1]([CH3:2])([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[N:8]1[CH2:9][CH:10]([CH2:11][NH2:12])[CH:13]([O:14][CH3:15])[CH2:16][CH2:17]1.[N-:18]=[NH2+:19]	30	283439	89
[C:1]12([CH2:2][CH2:3][CH:4]([CH2:5][N:6]=[N+:18]=[N-:17])[CH2:7][CH2:8]1)[O:9][CH2:10][c:11]1[c:12]2[cH:13][cH:14][cH:15][cH:16]1>CCOC(C)=O.CCO.[Pd]>[C:1]12([CH2:2][CH2:3][CH:4]([CH2:5][NH2:6])[CH2:7][CH2:8]1)[O:9][CH2:10][c:11]1[c:12]2[cH:13][cH:14][cH:15][cH:16]1.[N-:17]=[NH2+:18]	30	157774	89
[N:1]([C@@H:2]1[CH2:3][C@H:4]2[CH:5]=[C:6]([c:7]3[c:8](-[c:9]4[cH:10][cH:11][n:12][cH:13][cH:14]4)[c:15](-[c:16]4[cH:17][cH:18][c:19]([F:20])[cH:21][cH:22]4)[nH:23][cH:24]3)[CH2:25][CH2:26][N:27]2[CH2:28]1)=[N+:30]=[N-:29]>O1CCCC1.O.c1ccc(P(c2ccccc2)c2ccccc2)cc1>[N-:29]=[NH2+:30].[NH2:1][C@@H:2]1[CH2:3][C@H:4]2[CH:5]=[C:6]([c:7]3[c:8](-[c:9]4[cH:10][cH:11][n:12][cH:13][cH:14]4)[c:15](-[c:16]4[cH:17][cH:18][c:19]([F:20])[cH:21][cH:22]4)[nH:23][cH:24]3)[CH2:25][CH2:26][N:27]2[CH2:28]1	30	284878	89
[Br:6][Br:21].[Cl:1][c:2]1[c:3]([NH2:4])[cH:5][c:7](-[c:8]2[n:9][n:10]([CH3:11])[c:12]([O:13][CH:14]([F:15])[F:16])[cH:17]2)[c:18]([Cl:19])[cH:20]1>C(O)(=O)C.CC(=O)[O-].[Na+]>[BrH:21].[Cl:1][c:2]1[c:3]([NH2:4])[c:5]([Br:6])[c:7](-[c:8]2[n:9][n:10]([CH3:11])[c:12]([O:13][CH:14]([F:15])[F:16])[cH:17]2)[c:18]([Cl:19])[cH:20]1	31	231110	98
[Br:6][Br:11].[S:1]1[c:2]2[c:3]([cH:4][cH:5][cH:7][cH:8]2)[CH2:9][CH2:10]1>ClCCl.[Fe].O=C([O-])O.[Na+]>[BrH:11].[S:1]1[c:2]2[c:3]([cH:4][c:5]([Br:6])[cH:7][cH:8]2)[CH2:9][CH2:10]1	31	12146	98
[Br:27][Br:30].[CH3:1][CH:2]([CH2:3][O:4][c:5]1[cH:6][cH:7][c:8](-[c:9]2[cH:10][cH:11][c:12]([S:13](=[O:14])(=[O:15])[c:16]3[cH:17][cH:18][c:19]([CH3:20])[cH:21][cH:22]3)[cH:23][cH:24]2)[cH:25][cH:26]1)[CH2:28][CH3:29]>C(Cl)(Cl)(Cl)Cl.O=S([O-])O.[Na+]>[BrH:30].[CH3:1][CH:2]([CH2:3][O:4][c:5]1[cH:6][cH:7][c:8](-[c:9]2[cH:10][cH:11][c:12]([S:13](=[O:14])(=[O:15])[c:16]3[cH:17][cH:18][c:19]([CH3:20])[cH:21][cH:22]3)[cH:23][cH:24]2)[cH:25][c:26]1[Br:27])[CH2:28][CH3:29]	31	22481	98
[Br:1][Br:10].[cH:2]1[cH:3][cH:4][c:5]([NH2:6])[c:7]([F:8])[cH:9]1>[Br-].C([N+](CCCC)(CCCC)CCCC)CCC.C(Cl)Cl>[Br:1][c:2]1[cH:3][cH:4][c:5]([NH2:6])[c:7]([F:8])[cH:9]1.[BrH:10]	31	147950	98
[Br:1][Br:14].[cH:2]1[c:3]([OH:4])[cH:5][c:6]([CH2:7][C:8]([O:9][CH3:10])=[O:11])[cH:12][cH:13]1>C1(C)C=CC=CC=1.C(Cl)Cl.CC(C)(C)N.Cl>[Br:1][c:2]1[c:3]([OH:4])[cH:5][c:6]([CH2:7][C:8]([O:9][CH3:10])=[O:11])[cH:12][cH:13]1.[BrH:14]	31	337608	98
[Br:9][Br:14].[F:1][c:2]1[c:3]([C:4](=[O:5])[OH:6])[cH:7][cH:8][c:10]([O:11][CH3:12])[cH:13]1>C(O)(=O)C.O=S([O-])[O-].[Na+].[Na+].O>[BrH:14].[F:1][c:2]1[c:3]([C:4](=[O:5])[OH:6])[cH:7][c:8]([Br:9])[c:10]([O:11][CH3:12])[cH:13]1	31	201585	98
[Br:22][Br:27].[C:1]([CH3:2])([CH3:3])([CH3:4])[O:5][C:6]([c:7]1[cH:8][cH:9][c:10]([CH2:11][NH:12][S:13](=[O:14])(=[O:15])[c:16]2[c:17]([NH2:18])[cH:19][cH:20][cH:21][cH:23]2)[cH:24][cH:25]1)=[O:26]>C(O)(=O)C>[BrH:27].[C:1]([CH3:2])([CH3:3])([CH3:4])[O:5][C:6]([c:7]1[cH:8][cH:9][c:10]([CH2:11][NH:12][S:13](=[O:14])(=[O:15])[c:16]2[c:17]([NH2:18])[cH:19][cH:20][c:21]([Br:22])[cH:23]2)[cH:24][cH:25]1)=[O:26]	31	316664	98
[Br:1][Br:16].[cH:2]1[c:3]([OH:4])[c:5]([N+:6](=[O:7])[O-:8])[cH:9][c:10]([C:11]([F:12])([F:13])[F:14])[cH:15]1>CC(O)=O>[Br:1][c:2]1[c:3]([OH:4])[c:5]([N+:6](=[O:7])[O-:8])[cH:9][c:10]([C:11]([F:12])([F:13])[F:14])[cH:15]1.[BrH:16]	31	225516	98
[CH2:1]([CH3:2])[O:3][C:4](=[O:5])[CH:6]1[CH2:7][NH:8][CH2:19][CH2:20][CH2:21]1.[S:9]([c:10]1[c:11]([Cl:12])[cH:13][cH:14][cH:15][cH:16]1)(=[O:17])(=[O:18])[Cl:22]>C(Cl)Cl.Cl.CCN(C(C)C)C(C)C>[CH2:1]([CH3:2])[O:3][C:4](=[O:5])[CH:6]1[CH2:7][N:8]([S:9]([c:10]2[c:11]([Cl:12])[cH:13][cH:14][cH:15][cH:16]2)(=[O:17])=[O:18])[CH2:19][CH2:20][CH2:21]1.[ClH:22]	32	288846	99
